"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060013880","29816","9426"
"T20060013906","285","8976"
"T20060014238","29851","5870"
"T20060014246","44630","4212"
"T20060014296","35784","7797"
"T20060014375","52494","1024"
"T20060014510","504","5504"
"T20060014555","42466","6393"
"T20060014621","40783","5849"
"T20060014765","1015","7062"
"T20060014869","35526","5599"
"T20060014900","36221","9522"
"T20060015014","46521","5209"
"T20060015024","52047","1128"
"T20060015149","52865","2382"
"T20060015250","38244","5124"
"T20060015263","39539","5358"
"T20060015275","45123","1259"
"T20060015297","26244","4242"
"T20060015314","46695","6390"
"T20060015374","15057","9560"
"T20060015386","57661","7800"
"T20060015390","37362","8898"
"T20060015425","43028","6708"
"T20060015428","52085","1174"
"T20060015466","29404","6979"
"T20060015481","41640","6182"
"T20060015502","38437","5099"
"T20060015538","36932","9722"
"T20060015567","10592","1000"
"T20060015578","40141","9908"
"T20060015658","49935","7716"
"T20060015677","49175","1125"
"T20060015688","35784","7797"
"T20060015733","36969","5936"
"T20060015735","46818","5093"
"T20060015756","72366","7767"
"T20060015761","29746","6961"
"T20060015776","10919","7248"
"T20060015806","40803","5605"
"T20060015958","37367","9900"
"T20060015993","38442","5079"
"T20060016068","47550","7439"
"T20060016083","43053","9226"
"T20060016096","48399","6574"
"T20060016153","514","5430"
"T20060016163","48289","9423"
"T20060016176","37894","9298"
"T20060016187","514","5430"
"T20060016269","53291","1118"
"T20060016311","81","6301"
"T20060016346","11083","5950"
"T20060016414","44463","7723"
"T20060016515","35308","9579"
"T20060016558","10592","1000"
"T20060016637","43152","6692"
"T20060016647","29372","9496"
"T20060016676","55662","1133"
"T20060016695","40919","5783"
"T20060016726","29773","7461"
"T20060016738","37496","5208"
"T20060016742","42744","6628"
"T20060016763","61744","8835"
"T20060016780","478","5381"
"T20060016822","22622","2432"
"T20060016835","42744","6628"
"T20060016860","29592","9867"
"T20060017066","29773","7461"
"T20060017074","42880","6633"
"T20060017091","43872","7253"
"T20060017091","43872","7254"
"T20060017136","204325","1026"
"T20060017144","228","9731"
"T20060017184","36214","9594"
"T20060017211","36221","9522"
"T20060017279","22","9553"
